,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
178,frc6451,0.1874614594039055,0.0,1.0,0.7221411192214111,0.9208333333333333,0.93125,0.8908459000942504,2017arc,2017
179,frc6401,0.13319630010277494,0.0,1.0,0.7698296836982967,0.6729166666666666,0.93125,0.6495051837888784,2017arc,2017
180,frc1880,0.12579650565262077,0.0,1.0,0.8697485806974857,0.9562499999999999,0.8395833333333333,1.0,2017arc,2017
181,frc1640,0.10688591983556013,0.0,1.0,0.6017842660178427,0.9739583333333333,0.7899305555555556,0.6890610273327051,2017arc,2017
182,frc3138,0.08756423432682427,0.0,1.0,0.6892133008921331,0.7083333333333334,0.5874999999999999,0.4942860508953816,2017arc,2017
183,frc3799,0.2885919835560124,0.0,1.0,0.6846715328467152,0.7083333333333334,0.6333333333333333,0.49929311969839807,2017arc,2017
184,frc5464,0.08016443987667012,0.0,1.0,0.6869424168694241,0.7083333333333334,0.6104166666666666,0.7606621112158338,2017arc,2017
185,frc4476,0.008969447818368684,0.0,1.0,0.8071960480719605,0.740530303030303,0.0,0.6251071030760007,2017arc,2017
186,frc2421,0.10853031860226106,0.0,1.0,0.824330900243309,0.7437499999999999,0.7479166666666667,0.6164585296889725,2017arc,2017
187,frc401,0.2232271325796506,0.0,1.0,0.8050283860502839,0.7437499999999999,0.3583333333333333,0.6985744580584353,2017arc,2017
188,frc6317,0.19486125385405964,0.0,1.0,0.5824817518248174,0.7437499999999999,0.51875,0.6975730442978323,2017arc,2017
189,frc1629,0.1442959917780062,0.0,1.0,0.8311435523114356,0.7791666666666666,0.38125,0.6845546654099905,2017arc,2017
190,frc3044,0.07523124357656735,0.0,1.0,0.6835360908353609,0.7791666666666666,0.7708333333333333,0.7947101790763432,2017arc,2017
