year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
2018,2018gaalb,2018gaalb_qm21,qm21,254,382,0,1,0.3399999999999999,0.49502577010667626,0.6070707070707071,0.7354965585054081,0.18918918918918917,0.4222222222222222,0.37377009839212866,0.505,0.9964041711614527,0.9105339105339105,0.9098187947745471,0.18918918918918917,0.7559523809523809,0.9665226781857452
2019,2019wimi,2019wimi_qf1m1,qf1m1,85,110,0,1,0.7575757575757575,0.9032258064516129,0.8163265306122448,0.5,0.375,0.0,0.0,1.0,0.9290322580645162,1.0,0.6,0.5499999999999999,0.88,0.7314420803782508
2019,2019tes,2019tes_sf1m1,sf1m1,102,111,0,1,0.8296296296296296,0.9097222222222222,0.9523809523809524,1.0,0.6180555555555556,0.8333333333333334,0.20032051282051297,0.8444444444444444,0.8541666666666666,1.0,1.0,0.5694444444444444,0.5666666666666667,0.20673076923076938
2017,2017wimi,2017wimi_sf1m2,sf1m2,262,310,0,1,0.5236175115207373,0.0,1.0,0.8815789473684209,0.7916666666666666,1.0,0.8767908309455587,0.09953917050691245,0.30638297872340425,1.0,0.8021052631578948,0.9333333333333332,0.6000000000000001,0.9500286532951286
2017,2017mdowi,2017mdowi_qf1m2,qf1m2,185,260,0,1,0.0,0.04807692307692308,1.0,0.6,0.8749999999999999,0.65,0.8378274268104778,1.0,0.0,1.0,0.911111111111111,0.7777777777777778,0.8888888888888888,0.9013867488443762
2019,2019mibg,2019mibg_qm1,qm1,80,62,1,0,0.6613756613756614,0.9776334776334776,0.6527777777777778,0.8391534391534391,0.5178571428571429,0.8563869992441421,0.5257275132275131,0.22222222222222224,0.693939393939394,0.4916666666666667,0.8177777777777777,0.3222222222222222,0.674074074074074,0.525
2018,2018glbbb,2018glbbb_qf1m1,qf1m1,225,427,0,1,0.0044444444444444444,0.5845588235294117,0.7989949748743718,0.5348837209302325,0.2777777777777778,1.0,0.0,1.0,0.96078431372549,0.8341708542713567,1.0,0.3703703703703704,1.0,1.0
2017,2017onnob,2017onnob_qf3m2,qf3m2,190,261,0,1,0.0,1.0,1.0,0.5279503105590062,0.6666666666666666,0.9166666666666666,0.5821052631578947,0.18902439024390247,0.48979591836734687,1.0,0.8251996450754215,0.9047619047619048,1.0,1.0
2018,2018orwil,2018orwil_qf2m1,qf2m1,418,211,1,0,0.8728668941979522,0.7688741721854305,0.3947368421052631,0.9113207547169812,0.38888888888888884,0.0,0.6119766309639729,0.020477815699658702,0.7470198675496689,0.0,0.9509433962264152,0.5555555555555556,0.8461538461538461,0.0
2019,2019pncmp,2019pncmp_f1m1,f1m1,80,91,0,1,0.4230769230769231,0.9523809523809524,0.6029411764705882,1.0,0.5555555555555555,0.4791666666666665,0.845360824742268,1.0,0.8571428571428571,1.0,1.0,0.638888888888889,0.6666666666666666,1.0
2018,2018bcvi,2018bcvi_qf3m1,qf3m1,210,186,1,0,0.008547008547008546,0.45501285347043713,0.855457227138643,0.3539823008849557,0.11111111111111112,0.0,0.5129280223619846,0.30158730158730157,0.8295997062063899,0.8596713021491783,0.4664981036662453,0.4047619047619048,0.9485714285714285,0.7511230907457326
2019,2019waahs,2019waahs_f1m2,f1m2,58,94,0,1,0.26666666666666666,0.725925925925926,0.5157232704402516,0.9555555555555556,0.5092592592592592,0.7311827956989249,0.4253285543608125,1.0,0.9333333333333332,1.0,1.0,0.5092592592592592,0.8387096774193549,1.0
2019,2019wamou,2019wamou_qf4m1,qf4m1,41,53,0,1,0.0,0.8461538461538461,0.1176470588235294,0.8000000000000002,0.20833333333333334,0.35714285714285715,0.8358778625954199,0.375,0.4615384615384615,0.776470588235294,1.0,0.4000000000000001,1.0,0.847328244274809
2019,2019mibg,2019mibg_qm26,qm26,52,50,1,0,0.43333333333333335,0.5954545454545455,0.5958333333333333,0.9566666666666667,0.20000000000000004,0.7428571428571429,0.5937499999999999,0.5407407407407407,0.8131313131313131,0.5833333333333334,0.9629629629629629,0.27314814814814814,0.9153439153439153,0.43564814814814806
2019,2019nyut,2019nyut_qf1m1,qf1m1,65,94,0,1,0.125,0.8571428571428571,0.5599999999999999,1.0,0.3333333333333333,0.0,0.3847780126849896,0.8928571428571428,0.8775510204081632,1.0,1.0,0.4166666666666667,0.9238095238095237,0.8181818181818182
2017,2017arc,2017arc_qf4m2,qf4m2,483,471,1,0,0.5615942028985507,0.5,1.0,0.7908309455587391,0.9166666666666666,0.2142857142857143,0.4693087008343266,0.0,1.0,1.0,0.6489971346704871,0.6666666666666666,0.7142857142857141,0.0
2018,2018hiho,2018hiho_sf2m2,sf2m2,227,369,0,1,0.6204819277108434,0.843065693430657,0.6521739130434783,0.7105263157894738,0.38709677419354843,0.6875,0.5795099061522421,0.43239625167336015,0.7579075425790753,0.8717948717948719,0.6535087719298245,0.38709677419354843,0.9166666666666666,0.602189781021898
2019,2019isde2,2019isde2_qm36,qm36,53,61,0,1,0.0,0.7407407407407408,0.691358024691358,0.7999999999999999,0.2857142857142857,0.6041666666666669,0.1818181818181818,0.26666666666666666,0.837037037037037,0.6790123456790124,0.8444444444444444,0.20634920634920637,0.5416666666666667,0.2828282828282829
2019,2019pawch,2019pawch_qf3m1,qf3m1,36,63,0,1,0.0,0.7619047619047619,0.125,1.0,0.2222222222222222,0.5,0.7672955974842771,0.4464285714285714,0.8392857142857143,0.515625,0.8000000000000002,0.4479166666666667,0.75,1.0
2018,2018glbbb,2018glbbb_qf2m2,qf2m2,350,293,1,0,0.4644444444444445,0.8253676470588235,0.8125628140703517,0.7325581395348837,0.34722222222222215,0.55,0.6443850267379678,0.3674074074074074,0.7450980392156863,0.5025125628140704,0.813953488372093,0.3055555555555556,0.9333333333333332,0.4518716577540105
2018,2018mikk,2018mikk_qf4m1,qf4m1,332,316,1,0,0.43221912720519967,0.9754901960784313,0.9216909216909218,0.7364341085271318,0.38709677419354843,0.7647058823529411,0.657304964539007,0.6239554317548747,0.8926470588235295,0.8731808731808733,0.7674418604651162,0.43870967741935485,0.6,0.5242553191489362
2017,2017isde2,2017isde2_qm8,qm8,150,171,0,1,0.029629629629629627,0.3333333333333333,1.0,0.6131944444444445,0.763157894736842,0.5873015873015873,0.5583603020496225,0.6666666666666666,0.0,1.0,0.9583333333333334,0.49122807017543857,0.22222222222222218,0.20388349514563106
2019,2019hop,2019hop_sf2m2,sf2m2,89,75,1,0,0.4375,0.9652777777777778,0.7904040404040406,1.0,0.46875,0.7592592592592592,0.7263374485596709,0.33125,0.8208333333333334,0.6287878787878788,1.0,0.5916666666666667,0.65,0.960493827160494
2018,2018mnsc,2018mnsc_sf2m1,sf2m1,339,380,0,1,0.4245142002989537,0.7696078431372549,0.7319257837492003,0.8812260536398467,0.5185185185185185,1.0,0.9970291146761735,0.4663677130044843,0.8749999999999999,0.707869481765835,0.8413793103448276,0.32222222222222224,0.7384615384615385,0.5853832442067739
2018,2018ausp,2018ausp_qf4m2,qf4m2,270,459,0,1,0.004213483146067416,1.0,0.7627118644067797,0.7787234042553192,0.4166666666666667,0.8181818181818182,0.2906635349383442,0.5456460674157303,0.7812499999999999,0.998305084745763,0.7404255319148936,0.36111111111111116,0.6136363636363636,0.6042278332354669
2019,2019wayak,2019wayak_qf4m2,qf4m2,42,71,0,1,0.0,0.6057692307692308,0.3191489361702128,0.8000000000000002,0.3333333333333333,0.5800000000000001,0.3815028901734105,0.2142857142857143,1.0,0.4012158054711246,1.0,0.4404761904761905,0.0,0.5425268373245252
2019,2019mdowi,2019mdowi_f1m3,f1m3,79,74,1,0,0.36764705882352944,0.84375,0.9499999999999998,1.0,0.5729166666666666,1.0,0.8519417475728156,0.9495798319327732,0.7702380952380952,0.8774603174603174,0.6380952380952382,0.5595238095238095,0.7571428571428571,0.7292649098474343
2019,2019marcm,2019marcm_qm3,qm3,86,96,0,1,0.5454545454545455,0.8400000000000002,0.6582278481012659,0.9666666666666667,0.7083333333333334,0.6052631578947368,0.45925925925925903,0.7373737373737373,0.861388888888889,0.7158931082981717,0.9916666666666667,0.4826388888888889,0.2543859649122807,0.8327160493827162
2017,2017micmp3,2017micmp3_qf4m3,qf4m3,470,450,1,0,0.0,0.0,1.0,0.8403361344537815,0.75,0.9090909090909091,0.2284856571047368,0.0,0.0,1.0,0.8341114223467164,0.8518518518518517,0.5151515151515151,0.8097991253428213
2017,2017onsc,2017onsc_qm20,qm20,239,314,0,1,0.6760083036773428,0.0023148148148148147,1.0,0.8689172749391728,0.759920634920635,0.9895833333333334,0.8649975454099165,0.001383946223803875,0.6666666666666666,1.0,0.5781670721816708,0.6814814814814815,0.8222222222222223,0.6886597938144328
2018,2018vagle,2018vagle_qf1m1,qf1m1,311,357,0,1,0.2613240418118467,0.985658409387223,1.0,0.6578947368421053,0.2777777777777778,0.4210526315789475,0.38616071428571414,0.6794425087108015,0.9968336747997766,0.7956709956709956,0.7631578947368421,0.4047619047619048,0.9548872180451128,0.6240433673469385
2019,2019nhdur,2019nhdur_qf3m1,qf3m1,55,78,0,1,0.4772727272727273,0.9680851063829787,0.5,1.0,0.375,1.0,0.29032258064516114,0.9545454545454546,0.9680851063829787,0.8888888888888888,0.8000000000000002,0.5208333333333334,1.0,0.5000000000000003
2019,2019mokc3,2019mokc3_qm50,qm50,59,63,0,1,0.4000000000000001,0.7777777777777777,0.6555555555555556,1.0,0.3333333333333333,0.5833333333333334,0.5555555555555555,0.3555555555555556,0.9236111111111112,0.8666666666666666,0.7999999999999999,0.38888888888888884,0.8055555555555557,0.2058823529411766
2018,2018emcc,2018emcc_qf2m2,qf2m2,213,329,0,1,0.8395061728395062,0.8177777777777778,0.3973509933774834,1.0,0.3148148148148148,0.7142857142857143,0.3396409509946628,0.397119341563786,1.0,0.7317880794701986,0.7099236641221375,0.3148148148148148,0.0,0.16011644832605532
2018,2018incmp,2018incmp_qm59,qm59,376,353,1,0,0.46379928315412194,0.8962686567164179,0.935268817204301,0.8687427912341407,0.8611111111111112,0.34074074074074073,0.2107700179073936,0.47550776583034643,0.822553897180763,0.6544802867383513,0.9500192233756248,0.5555555555555555,0.2839506172839506,0.11401040334271363
2018,2018mawor,2018mawor_qf1m2,qf1m2,295,450,0,1,0.0,0.9518518518518521,0.7991803278688524,0.7674418604651162,0.7222222222222223,0.99002849002849,0.26526162790697694,1.0,0.8444444444444444,0.6937939110070258,1.0,0.42857142857142855,0.0,0.5128737541528238
2018,2018ncwin,2018ncwin_f1m2,f1m2,293,397,0,1,0.5427323767935123,0.8456837280366692,0.4576976421636616,0.7803468208092484,0.3095238095238095,0.41463414634146334,0.6214824571907556,1.0,1.0,1.0,0.920038535645472,0.4444444444444444,0.31707317073170727,1.0
2018,2018miwmi,2018miwmi_qf4m3,qf4m3,375,319,1,0,0.2924076607387141,1.0,1.0,0.9453781512605043,0.40972222222222227,0.8913043478260869,0.6108445297504796,0.8864569083447332,0.7642276422764227,0.4699872286079183,0.7983193277310926,0.3148148148148148,0.0,0.29814459373000635
2019,2019mdbb,2019mdbb_qm18,qm18,39,56,0,1,0.5458333333333333,0.7010869565217391,0.6666666666666666,1.0,0.26666666666666666,0.7476851851851851,0.8232600732600731,0.6708333333333334,0.7735507246376812,0.599290780141844,1.0,0.3,0.7523148148148149,0.8653846153846153
2017,2017micmp2,2017micmp2_qf4m3,qf4m3,450,311,1,0,0.053993250843644536,0.0,1.0,1.0,0.9047619047619048,0.6571428571428571,0.702795403875836,0.06299212598425195,0.0,1.0,0.7476979742173112,1.0,1.0,0.1392557022809127
2019,2019njfla,2019njfla_qm37,qm37,74,49,1,0,0.7669753086419752,0.9094202898550724,0.7920054200542005,0.8666666666666667,0.22916666666666666,0.9629629629629629,0.7257383966244726,0.345679012345679,0.8115942028985508,0.777777777777778,0.688888888888889,0.3333333333333333,0.419753086419753,0.45147679324894535
2019,2019cada,2019cada_f1m1,f1m1,82,96,0,1,0.4561403508771929,1.0,0.5844155844155844,0.9,0.48611111111111116,0.9166666666666666,0.8863636363636364,1.0,0.8181818181818182,1.0,0.8000000000000002,0.625,0.7222222222222222,1.0
2017,2017miket,2017miket_sf2m2,sf2m2,261,287,0,1,0.0,0.0,1.0,0.8594420600858369,0.7058823529411765,0.75,1.0,0.0,0.0,1.0,0.5150214592274678,1.0,0.5624999999999999,0.5449101796407191
2017,2017cur,2017cur_qf4m1,qf4m1,449,445,1,0,0.16241006206404132,0.002845163222521713,1.0,0.5382613510520488,0.9497354497354498,0.5285714285714286,0.315002471576866,0.00922722029988466,0.3333333333333333,1.0,0.6651162790697674,0.8888888888888888,1.0,0.4186851211072664
