,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
714,2017,2017iacf,2017iacf_sf1m1,sf1m1,255,395,0,1,0.0641025641025641,0.035778175313059,0.9934253780407628,0.7416860916860917,0.7761100687929957,0.8625204582651391,0.5184744207834793,0.25,0.0436046511627907,1.0,0.8357796717171718,0.8033536585365854,0.6808510638297873,0.5204262877442273
719,2019,2019ausc,2019ausc_qf3m1,qf3m1,68,57,1,0,0.7787439613526569,0.5748231966053748,0.7604968944099378,0.8454106280193238,0.2636652236652236,0.9658385093167702,0.5035145294627257,0.2789855072463768,0.8580858085808581,0.4989130434782607,0.8285024154589372,0.6666666666666666,0.3224637681159421,0.147018578476719
723,2017,2017ctwat,2017ctwat_qf4m1,qf4m1,102,265,0,1,0.096470257347771,0.094017094017094,0.9276791584483892,0.4160839160839161,0.5121794871794872,0.8872419570093989,0.437258272453803,0.1886941248162884,0.0645215351097704,0.974861739567622,0.8438735177865612,0.8000000000000002,0.9553340716131414,0.3048526673239129
725,2019,2019mesh,2019mesh_qf2m1,qf2m1,63,79,0,1,0.280970625798212,0.8994708994708995,0.4644945697577276,0.7517868745938922,0.5005005005005004,0.7925925925925926,0.3646783625730994,0.3552769070010448,0.7316017316017316,0.5085440874914559,0.9191919191919192,0.6306306306306307,0.6484848484848484,0.1081339712918659
728,2019,2019orlak,2019orlak_sf2m3,sf2m3,69,91,0,1,0.7543859649122807,0.8281914164267107,0.5791455655109726,0.8374183006535948,0.489247311827957,0.1416353775552774,0.2328522336769757,0.6710526315789473,0.8368298368298369,0.6997792494481235,0.9722222222222224,0.6077956989247312,0.5886524822695035,0.4057594501718214
729,2017,2017ausp,2017ausp_qf2m1,qf2m1,410,300,1,0,0.0402476780185758,0.1501014198782961,1.0,0.6655533753600802,0.891891891891892,0.9309360730593608,0.1629496500830539,0.0310776942355889,0.1182266009852216,0.993894993894994,0.6220216972523573,0.722007722007722,0.1878261578604043,0.3057445509042596
731,2017,2017isde4,2017isde4_qf3m3,qf3m3,305,205,1,0,0.0558125192722787,0.0,0.9886039886039888,0.9109414758269722,0.772093023255814,0.8309523809523808,0.4731937879810937,0.1120757133708105,0.2564102564102564,1.0,0.7527891955372872,0.7620751341681574,0.7664835164835164,0.5944008725912844
742,2019,2019lake,2019lake_qf3m2,qf3m2,57,70,0,1,0.14006734006734,0.689792663476874,0.5192837465564738,0.8642765685019206,0.4355418592706728,0.8288770053475935,0.4831491429157969,0.1185185185185185,0.6376518218623483,0.7916666666666666,0.9100758396533044,0.5910473707083876,0.6598793363499247,0.361309747835905
753,2017,2017miken,2017miken_f1m1,f1m1,255,331,0,1,0.0550579557428872,0.0454545454545454,1.0,0.8136809978768579,0.9191056910569108,0.8654545454545456,0.3853590052146012,0.8315770987003863,0.0299043062200956,0.9955015744489428,0.8795396133646219,0.8510911424903723,0.8755980861244019,0.4597082356915155
759,2017,2017cc,2017cc_sf2m3,sf2m3,500,255,1,0,0.5046430370183832,0.4664144736842104,1.0,0.8501718096145341,0.8654605263157894,0.8690176322418136,0.3435852073622973,0.1465492243004204,0.1701515151515151,1.0,0.6402068519715578,0.8106060606060606,0.7468895504159989,0.357289769054475
